episode,timestep,reward
65,2000,-96.8573
130,4000,-97.6463
187,6000,-93.1965
241,8000,-95.987
301,10000,-94.0078
363,12000,-101.0116
417,14000,-101.0259
480,16000,-100.9876
528,18000,-92.5774
598,20000,-98.5747
637,22000,-105.4207
702,24000,-90.8125
749,26000,-92.0937
831,28000,-100.9301
908,30000,-102.9419
974,32000,-97.5402
1044,34000,-104.0663
1093,36000,-103.8095
1165,38000,-97.2887
1234,40000,-94.629
1298,42000,-97.0932
1355,44000,-97.012
1400,46000,-100.3057
1451,48000,-92.0674
1514,50000,-98.3704
1583,52000,-97.7402
1650,54000,-100.1399
1720,56000,-94.7328
1769,58000,-96.4342
1837,60000,-103.5324
1889,62000,-99.8775
1957,64000,-97.9368
2014,66000,-103.666
2083,68000,-91.3703
2151,70000,-97.5152
2214,72000,-97.2878
2270,74000,-86.5187
2313,76000,-104.1603
2368,78000,-100.3921
2417,80000,-92.9309
2492,82000,-95.3713
2553,84000,-103.737
2614,86000,-104.7509
2665,88000,-99.5562
2732,90000,-94.8214
2771,92000,-100.33
2841,94000,-97.2609
2908,96000,-100.7926
2960,98000,-99.9502
3015,100000,-95.4909
3065,102000,-100.3903
3141,104000,-97.9009
3197,106000,-104.1204
3245,108000,-104.5968
3290,110000,-104.7241
3361,112000,-98.0982
3423,114000,-97.2842
3478,116000,-99.866
3538,118000,-93.0503
3607,120000,-94.9966
3680,122000,-101.3316
3743,124000,-94.0954
3787,126000,-91.814
3853,128000,-100.2193
3896,130000,-96.2501
3955,132000,-104.2544
4003,134000,-95.3846
4063,136000,-100.8148
4103,138000,-99.2509
4157,140000,-92.5065
4204,142000,-94.1092
4246,144000,-98.9493
4301,146000,-96.7877
