episode,timestep,reward
4381,148000,-96.0281
4443,150000,-100.9227
4520,152000,-98.2828
4595,154000,-82.2298
4674,156000,-98.1577
4746,158000,-95.5752
4821,160000,-100.7406
4881,162000,-100.8891
4945,164000,-95.1211
5014,166000,-95.6499
5077,168000,-97.908
5139,170000,-98.5175
5199,172000,-90.9183
5264,174000,-101.3656
5340,176000,-96.3691
5398,178000,-98.1096
5461,180000,-104.7512
5519,182000,-105.3073
5592,184000,-98.9395
5660,186000,-98.5738
5723,188000,-91.0586
5786,190000,-98.5366
5843,192000,-98.0159
5906,194000,-99.4478
5975,196000,-101.2764
6051,198000,-99.2237
6118,200000,-99.152
6183,202000,-92.3364
6254,204000,-101.9543
6304,206000,-107.6931
6360,208000,-103.1389
6423,210000,-102.6013
6474,212000,-108.6862
6538,214000,-105.9876
6596,216000,-98.6282
6657,218000,-105.2838
6713,220000,-102.6726
6764,222000,-107.7976
6826,224000,-106.3713
6876,226000,-103.9364
6938,228000,-96.5477
7006,230000,-93.7385
7064,232000,-105.2544
7117,234000,-103.2271
7170,236000,-95.329
7232,238000,-99.7245
7296,240000,-102.8262
7350,242000,-98.9276
7400,244000,-97.1829
7471,246000,-96.9426
7523,248000,-102.96
7581,250000,-105.6583
7643,252000,-98.9575
7713,254000,-96.3657
7771,256000,-98.534
7828,258000,-105.4321
7883,260000,-107.259
7941,262000,-106.5927
7998,264000,-99.4619
8068,266000,-101.3096
8134,268000,-92.7904
8191,270000,-103.483
8241,272000,-103.3129
8298,274000,-91.9471
8369,276000,-93.3793
8441,278000,-93.7915
8491,280000,-106.9767
8549,282000,-103.2348
8601,284000,-107.3696
8656,286000,-95.365
8705,288000,-107.9415
8748,290000,-97.9947
8806,292000,-96.2845
8868,294000,-99.5496
8929,296000,-103.74
8974,298000,-98.7291
9028,300000,-102.8422
9079,302000,-108.981
9117,304000,-108.8966
9174,306000,-102.3093
9233,308000,-99.8581
9289,310000,-101.481
9341,312000,-96.1838
9393,314000,-99.9291
9445,316000,-99.9399
9497,318000,-103.038
9552,320000,-107.8912
9606,322000,-103.2411
9664,324000,-99.5473
9711,326000,-99.585
9763,328000,-106.7686
9828,330000,-103.7726
9882,332000,-95.9295
9927,334000,-92.1905
9980,336000,-103.5806
10033,338000,-108.8204
10086,340000,-96.7426
10144,342000,-106.8143
