episode,timestep,reward
34,2000,-106.1923
58,4000,-92.3396
92,6000,-110.6991
117,8000,-126.0121
142,10000,-112.7405
165,12000,-97.2353
180,14000,-118.9248
198,16000,-104.9994
220,18000,-96.773
232,20000,-124.7221
250,22000,-109.2847
274,24000,-100.5795
285,26000,-86.4471
311,28000,-81.8403
325,30000,-114.318
350,32000,-89.272
378,34000,-100.5974
404,36000,-107.1556
415,38000,-123.8414
448,40000,-109.2439
473,42000,-115.6111
491,44000,-99.4168
515,46000,-107.1088
537,48000,-119.8236
555,50000,-105.2966
569,52000,-141.5315
591,54000,-106.584
620,56000,-101.2346
644,58000,-116.672
659,60000,-116.7817
673,62000,-115.723
701,64000,-103.3544
723,66000,-110.4257
756,68000,-103.7157
778,70000,-115.9234
