episode,timestep,reward
29,2000,-112.3134
63,4000,-111.2341
140,6000,-87.9156
215,8000,-94.9144
269,10000,-81.5611
332,12000,-95.9476
396,14000,-103.2424
455,16000,-94.8756
510,18000,-101.2101
571,20000,-103.43
638,22000,-99.6036
688,24000,-103.3803
752,26000,-97.9929
810,28000,-96.4174
875,30000,-99.8102
931,32000,-103.2307
991,34000,-99.9658
1050,36000,-100.6325
1104,38000,-96.0225
1161,40000,-97.1416
1228,42000,-88.3391
1282,44000,-95.9025
1351,46000,-82.8807
1415,48000,-100.8165
1481,50000,-97.3277
1541,52000,-94.234
1604,54000,-97.5044
1672,56000,-97.4098
1726,58000,-99.8022
1789,60000,-93.5129
1871,62000,-99.8761
1930,64000,-93.6663
1987,66000,-96.6252
2044,68000,-96.4262
2103,70000,-100.1894
2162,72000,-93.0715
2198,74000,-99.0329
2259,76000,-103.9699
2329,78000,-98.2931
2371,80000,-98.9519
2434,82000,-100.2542
2493,84000,-100.517
2561,86000,-94.7456
2596,88000,-97.4707
2659,90000,-91.6268
2715,92000,-97.1972
2772,94000,-88.818
2834,96000,-100.6549
2904,98000,-95.4547
2962,100000,-100.0867
3023,102000,-90.4681
3088,104000,-100.4757
3161,106000,-97.7418
3231,108000,-97.3648
3291,110000,-103.1279
3359,112000,-90.9415
3427,114000,-104.2395
3493,116000,-94.6835
3558,118000,-91.2279
3628,120000,-94.9427
3694,122000,-103.9427
3760,124000,-104.1745
3829,126000,-103.2437
3897,128000,-103.5872
3978,130000,-103.8332
4042,132000,-94.3401
4115,134000,-95.3276
4192,136000,-98.4432
4273,138000,-98.6225
4343,140000,-100.9731
4425,142000,-95.5876
4494,144000,-98.2869
